MSA,UnemployentRate
"Waco, TX Metropolitan Statistical Area",3.3
"Worcester, MA-CT Metropolitan NECTA",3.3
"Athens-Clarke County, GA Metropolitan Statistical Area",3.4
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",3.4
"Coeur d'Alene, ID Metropolitan Statistical Area",3.4
"Gadsden, AL Metropolitan Statistical Area",3.4
"Gettysburg, PA Metropolitan Statistical Area",3.4
"Grand Island, NE Metropolitan Statistical Area",3.4
"Lawton, OK Metropolitan Statistical Area",3.4
"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",3.4
"Raleigh, NC Metropolitan Statistical Area",3.4
"State College, PA Metropolitan Statistical Area",3.4
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",3.4
"Wichita, KS Metropolitan Statistical Area",3.4
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",3.5
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",3.5
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",3.5
"Cheyenne, WY Metropolitan Statistical Area",3.5
"Cleveland, TN Metropolitan Statistical Area",3.5
"Florence-Muscle Shoals, AL Metropolitan Statistical Area",3.5
"Fort Smith, AR-OK Metropolitan Statistical Area",3.5
"Great Falls, MT Metropolitan Statistical Area",3.5
"Ithaca, NY Metropolitan Statistical Area",3.5
"Jackson, TN Metropolitan Statistical Area",3.5
"Kalamazoo-Portage, MI Metropolitan Statistical Area",3.5
"Lancaster, PA Metropolitan Statistical Area",3.5
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",3.5
"New Haven, CT Metropolitan NECTA",3.5
"Norwich-New London-Westerly, CT-RI Metropolitan NECTA",3.5
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",3.5
"Victoria, TX Metropolitan Statistical Area",3.5
"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",3.6
"Bloomington, IL Metropolitan Statistical Area",3.6
"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA",3.6
"Brunswick, GA Metropolitan Statistical Area",3.6
"Champaign-Urbana, IL Metropolitan Statistical Area",3.6
"Columbus, OH Metropolitan Statistical Area",3.6
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",3.6
"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",3.6
"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",3.6
"Kingston, NY Metropolitan Statistical Area",3.6
"Leominster-Gardner, MA Metropolitan NECTA",3.6
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",3.6
"Providence-Warwick, RI-MA Metropolitan NECTA",3.6
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",3.6
"Valdosta, GA Metropolitan Statistical Area",3.6
"Warner Robins, GA Metropolitan Statistical Area",3.6
"Wilmington, NC Metropolitan Statistical Area",3.6
"Winston-Salem, NC Metropolitan Statistical Area",3.6
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",3.7
"Burlington, NC Metropolitan Statistical Area",3.7
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",3.7
"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",3.7
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",3.7
"Hot Springs, AR Metropolitan Statistical Area",3.7
"Jackson, MI Metropolitan Statistical Area",3.7
"Janesville-Beloit, WI Metropolitan Statistical Area",3.7
"Johnson City, TN Metropolitan Statistical Area",3.7
"Laredo, TX Metropolitan Statistical Area",3.7
"Longview, TX Metropolitan Statistical Area",3.7
