GeoFips,GeoName,LineCode,Description,2019
21300,"Elmira, NY (Metropolitan Statistical Area)",2,Population (persons) 1/,83456
21300,"Elmira, NY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,46421
21340,"El Paso, TX (Metropolitan Statistical Area)",2,Population (persons) 1/,844124
21340,"El Paso, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,37633
21420,"Enid, OK (Metropolitan Statistical Area)",2,Population (persons) 1/,61056
21420,"Enid, OK (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,44899
21500,"Erie, PA (Metropolitan Statistical Area)",2,Population (persons) 1/,269728
21500,"Erie, PA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,46379
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",2,Population (persons) 1/,382067
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,47340
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",2,Population (persons) 1/,315086
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,48896
21820,"Fairbanks, AK (Metropolitan Statistical Area) *",2,Population (persons) 1/,96849
21820,"Fairbanks, AK (Metropolitan Statistical Area) *",3,Per capita personal income (dollars) 2/,59958
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",2,Population (persons) 1/,246145
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,54932
22140,"Farmington, NM (Metropolitan Statistical Area)",2,Population (persons) 1/,123958
22140,"Farmington, NM (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,35999
22180,"Fayetteville, NC (Metropolitan Statistical Area)",2,Population (persons) 1/,526719
22180,"Fayetteville, NC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,38204
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",2,Population (persons) 1/,534904
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,67771
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",2,Population (persons) 1/,143476
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,49189
22420,"Flint, MI (Metropolitan Statistical Area)",2,Population (persons) 1/,405813
