"T","S","V"
"7.999999999999988","494.2399999999985","21.599999999999955"
"8.099999999999987","496.4489999999984","20.619999999999955"
"8.199999999999987","498.5599999999984","19.639999999999954"
"8.299999999999986","500.5729999999984","18.659999999999954"
"8.399999999999986","502.48799999999835","17.679999999999954"
"8.499999999999986","504.3049999999983","16.699999999999953"
"8.599999999999985","506.0239999999983","15.719999999999953"
"8.699999999999985","507.6449999999983","14.739999999999952"
"8.799999999999985","509.16799999999824","13.759999999999952"
"8.899999999999984","510.5929999999982","12.779999999999951"
"8.999999999999984","511.9199999999982","11.799999999999951"
"9.099999999999984","513.1489999999982","10.81999999999995"
"9.199999999999983","514.2799999999982","9.83999999999995"
"9.299999999999983","515.3129999999982","8.85999999999995"
"9.399999999999983","516.2479999999981","7.879999999999949"
"9.499999999999982","517.0849999999981","6.899999999999949"
"9.599999999999982","517.823999999998","5.919999999999948"
"9.699999999999982","518.464999999998","4.939999999999948"
"9.799999999999981","519.007999999998","3.959999999999948"
"9.89999999999998","519.4529999999979","2.979999999999948"
"9.99999999999998","519.7999999999979","1.999999999999948"
"10.09999999999998","520.0489999999979","1.019999999999948"
"10.19999999999998","520.1999999999979","0.039999999999947966"
"10.29999999999998","520.2529999999979","-0.9400000000000521"
"10.399999999999979","520.2079999999978","-1.9200000000000523"
"10.499999999999979","520.0649999999978","-2.9000000000000523"
"10.599999999999978","519.8239999999978","-3.8800000000000523"
"10.699999999999978","519.4849999999977","-4.860000000000053"
"10.799999999999978","519.0479999999977","-5.840000000000053"
"10.899999999999977","518.5129999999976","-6.820000000000054"
"10.999999999999977","517.8799999999976","-7.800000000000054"
"11.099999999999977","517.1489999999976","-8.780000000000054"
"11.199999999999976","516.3199999999975","-9.760000000000055"
"11.299999999999976","515.3929999999975","-10.740000000000055"
"11.399999999999975","514.3679999999976","-11.720000000000056"
"11.499999999999975","513.2449999999975","-12.700000000000056"
"11.599999999999975","512.0239999999975","-13.680000000000057"
"11.699999999999974","510.7049999999975","-14.660000000000057"
"11.799999999999974","509.28799999999745","-15.640000000000057"
"11.899999999999974","507.7729999999974","-16.620000000000058"
"11.999999999999973","506.1599999999974","-17.60000000000006"
"12.099999999999973","504.4489999999974","-18.58000000000006"
"12.199999999999973","502.63999999999737","-19.56000000000006"
"12.299999999999972","500.73299999999733","-20.54000000000006"
"12.399999999999972","498.7279999999973","-21.52000000000006"
"12.499999999999972","496.62499999999727","-22.50000000000006"
"12.599999999999971","494.42399999999725","-23.48000000000006"
"12.69999999999997","492.1249999999972","-24.46000000000006"
"12.79999999999997","489.72799999999717","-25.44000000000006"
"12.89999999999997","487.23299999999716","-26.420000000000062"
"12.99999999999997","484.63999999999714","-27.400000000000063"
"13.09999999999997","481.9489999999971","-28.380000000000063"
"13.199999999999969","479.15999999999707","-29.360000000000063"
"13.299999999999969","476.27299999999707","-30.340000000000064"
"13.399999999999968","473.28799999999706","-31.320000000000064"
"13.499999999999968","470.204999999997","-32.30000000000006"
"13.599999999999968","467.023999999997","-33.28000000000006"
"13.699999999999967","463.74499999999694","-34.260000000000055"
"13.799999999999967","460.3679999999969","-35.24000000000005"
"13.899999999999967","456.8929999999969","-36.22000000000005"
"13.999999999999966","453.31999999999687","-37.200000000000045"
"14.099999999999966","449.6489999999968","-38.18000000000004"
"14.199999999999966","445.8799999999968","-39.16000000000004"
"14.299999999999965","442.0129999999968","-40.140000000000036"
"14.399999999999965","438.04799999999676","-41.12000000000003"
"14.499999999999964","433.9849999999967","-42.10000000000003"
"14.599999999999964","429.8239999999967","-43.08000000000003"
"14.699999999999964","425.5649999999967","-44.060000000000024"
"14.799999999999963","421.2079999999967","-45.04000000000002"
"14.899999999999963","416.75299999999663","-46.02000000000002"
"14.999999999999963","412.19999999999663","-47.000000000000014"
"15.099999999999962","407.5489999999966","-47.98000000000001"
"15.199999999999962","402.7999999999966","-48.96000000000001"
"15.299999999999962","397.95299999999656","-49.940000000000005"
"15.399999999999961","393.0079999999965","-50.92"
"15.499999999999961","387.9649999999965","-51.9"
"15.59999999999996","382.8239999999965","-52.879999999999995"
"15.69999999999996","377.58499999999646","-53.85999999999999"
"15.79999999999996","372.2479999999964","-54.83999999999999"
"15.89999999999996","366.8129999999964","-55.819999999999986"
"15.99999999999996","361.2799999999964","-56.79999999999998"
"16.09999999999996","355.64899999999636","-57.77999999999998"
"16.19999999999996","349.9199999999963","-58.75999999999998"
"16.29999999999996","344.0929999999963","-59.739999999999974"
"16.399999999999963","338.1679999999963","-60.71999999999997"
"16.499999999999964","332.1449999999963","-61.69999999999997"
"16.599999999999966","326.02399999999625","-62.679999999999964"
"16.699999999999967","319.80499999999626","-63.65999999999996"
"16.79999999999997","313.48799999999625","-64.63999999999996"
"16.89999999999997","307.0729999999962","-65.61999999999996"
"16.99999999999997","300.5599999999962","-66.59999999999997"
"17.099999999999973","293.9489999999962","-67.57999999999997"
"17.199999999999974","287.2399999999962","-68.55999999999997"
"17.299999999999976","280.4329999999962","-69.53999999999998"
"17.399999999999977","273.52799999999615","-70.51999999999998"
"17.49999999999998","266.5249999999961","-71.49999999999999"
"17.59999999999998","259.4239999999961","-72.47999999999999"
"17.69999999999998","252.22499999999613","-73.46"
"17.799999999999983","244.92799999999613","-74.44"
"17.899999999999984","237.53299999999615","-75.42"
"17.999999999999986","230.03999999999616","-76.4"
"18.099999999999987","222.44899999999618","-77.38000000000001"
"18.19999999999999","214.75999999999618","-78.36000000000001"
"18.29999999999999","206.97299999999618","-79.34000000000002"
"18.39999999999999","199.08799999999619","-80.32000000000002"
"18.499999999999993","191.10499999999618","-81.30000000000003"
"18.599999999999994","183.0239999999962","-82.28000000000003"
"18.699999999999996","174.8449999999962","-83.26000000000003"
"18.799999999999997","166.5679999999962","-84.24000000000004"
"18.9","158.1929999999962","-85.22000000000004"
"19.0","149.71999999999622","-86.20000000000005"
"19.1","141.14899999999622","-87.18000000000005"
"19.200000000000003","132.4799999999962","-88.16000000000005"
"19.300000000000004","123.71299999999621","-89.14000000000006"
"19.400000000000006","114.84799999999622","-90.12000000000006"
"19.500000000000007","105.88499999999623","-91.10000000000007"
"19.60000000000001","96.82399999999623","-92.08000000000007"
"19.70000000000001","87.66499999999623","-93.06000000000007"
"19.80000000000001","78.40799999999622","-94.04000000000008"
"19.900000000000013","69.05299999999622","-95.02000000000008"
"20.000000000000014","59.59999999999621","-96.00000000000009"
"20.100000000000016","50.0489999999962","-96.98000000000009"
"20.200000000000017","40.39999999999619","-97.9600000000001"
"20.30000000000002","30.65299999999618","-98.9400000000001"
"20.40000000000002","20.80799999999617","-99.9200000000001"
"20.50000000000002","10.864999999996158","-100.9000000000001"
"20.600000000000023","0.8239999999961475","-101.88000000000011"
"20.700000000000024","-9.315000000003865","-102.86000000000011"
