opportunity_id,Entity_ID,Est_Revenue,Annual_Revenue,days_active,PFY_RSM_Services_Spend,CFY_RSM_Services_Spend,No_of_Employees,Probability,Lead_Source,Private_Equity,Open_Revenue,Type,industry_sector,revenue_size,Microsoft_Enterprise_Agreement,Won
2fd10ce6-163e-e611-8112-005056ad4f9d,7787009,8082,125810963,0.00255787,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - New Business,Retail & Restaurants,low,_missing_,1
533309bc-f042-e611-8108-005056ad09ed,7787009,973000,125810963,0.001724537,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - New Business,Retail & Restaurants,high,_missing_,1
c9c50a61-ba4d-e611-8113-005056ad4f9d,7787009,34076,125810963,0.003171296,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - New Business,Retail & Restaurants,med,_missing_,1
04ec8a37-054d-e611-810b-005056ad6943,7787009,2220,125810963,0.001655093,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - New Business,Retail & Restaurants,low,_missing_,1
d3583fee-174d-e611-8113-005056ad4f9d,7787009,5180,125810963,0.001168981,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - New Business,Retail & Restaurants,low,_missing_,1
587deb91-2a4d-e611-8113-005056ad4f9d,7787009,18488,125810963,0.001608796,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - New Business,Retail & Restaurants,low,_missing_,1
fb5214c2-05aa-ec11-a9e6-005056b5913b,7787009,409990,125810963,0.002465278,7000,810507.62,300,20%,BD Activity,No,50000,Existing Relationship - New Business,Retail & Restaurants,med,_missing_,1
7d3521da-fabc-e911-a9b6-005056b57426,7787009,828072,125810963,688.3707523,7000,810507.62,300,100%,Inactive - Junction Solutions,No,50000,Existing Relationship - New Business,Retail & Restaurants,high,_missing_,1
23ff76d4-8124-e711-8113-005056ad09ed,7787009,6920,125810963,0.000706019,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - New Business,Retail & Restaurants,low,_missing_,0
abcd4294-ddd6-e711-811f-005056ad6943,7787009,59400,125810963,4.360150463,7000,810507.62,300,20%,Director,No,50000,Existing Relationship - New Business,Retail & Restaurants,med,_missing_,1
03870b81-8124-e711-8113-005056ad09ed,7787009,3176,125810963,0.000659722,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - New Business,Retail & Restaurants,low,_missing_,0
a4be20a7-f08f-e611-8110-005056ad6943,7787009,370800,125810963,48.96421296,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - New Business,Retail & Restaurants,med,_missing_,1
0fbb484f-8c0d-e711-8111-005056ad09ed,7787009,157800,125810963,0.002581019,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - New Business,Retail & Restaurants,med,_missing_,1
9c035b16-14f2-e611-8111-005056ad09ed,7787009,122800,125810963,0.001412037,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - New Business,Retail & Restaurants,med,_missing_,1
cc8700f2-590e-e711-8111-005056ad09ed,7787009,118360,125810963,0.00224537,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - New Business,Retail & Restaurants,med,_missing_,1
51cbf41b-362c-e711-8116-005056ad6943,7787009,135360,125810963,0.000960648,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - New Business,Retail & Restaurants,med,_missing_,1
b84b2921-7f24-e711-8115-005056ad6943,7787009,5440,125810963,0.001053241,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - New Business,Retail & Restaurants,low,_missing_,1
0f9c03e7-2c9b-e711-8118-005056ad09ed,7787009,127140,125810963,28.51027778,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - Renewal,Retail & Restaurants,med,_missing_,1
0d266a72-2e9b-e711-8118-005056ad09ed,7787009,104080,125810963,13.30121528,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - Renewal,Retail & Restaurants,med,_missing_,1
68d45bc6-2e9b-e711-8118-005056ad09ed,7787009,19200,125810963,0.135266204,7000,810507.62,300,20%,Marketing Campaign - National,No,50000,Existing Relationship - Renewal,Retail & Restaurants,low,_missing_,1
984cfeec-2c9b-e711-8118-005056ad09ed,7787009,2500,125810963,279.413287,7000,810507.62,300,20%,Inactive - Junction Solutions,No,50000,Existing Relationship - Renewal,Retail & Restaurants,low,_missing_,0
61fd5494-4ab9-e911-a9b6-005056b5913b,8157243,2000000,0,152.1031019,64792.15,869651.92,2,20%,Referral - Other,No,593000,New Relationship - New Business,Retail & Restaurants,high,_missing_,0
f5cadf6d-2f9b-e711-8118-005056ad09ed,7787042,50000,301576944,99.05415509,0,0,1300,20%,Inactive - Junction Solutions,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,med,No,0
2342c791-2f9b-e711-8118-005056ad09ed,7787028,500,23609400,52.66994213,385,0,238,20%,Inactive - Junction Solutions,No,0,Existing Relationship - Renewal,Retail & Restaurants,low,No,1
16efa8c1-2f9b-e711-8118-005056ad09ed,7787025,14500,26855586,188.6897338,71687.88,1012.89,102,20%,Referral - Other,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,low,No,0
ee5e87df-2f9b-e711-8118-005056ad09ed,7787056,40000,133100000,56.43071759,62110.64,51052.78,350,20%,Inside Sales,No,3400000,Existing Relationship - Renewal,Retail & Restaurants,med,No,0
98d9395d-309b-e711-8118-005056ad09ed,7787009,1500000,125810963,55.33944444,7000,810507.62,300,20%,Inside Sales,No,50000,Existing Relationship - Renewal,Retail & Restaurants,high,_missing_,0
3c4da1e1-1312-e611-8107-005056ad1ac5,7787056,19100,133100000,57.41424769,62110.64,51052.78,350,_missing_,Inactive - Junction Solutions,No,3400000,Existing Relationship - New Business,Retail & Restaurants,low,No,1
db590ce8-124a-e711-8115-005056ad09ed,7787056,7400,133100000,0.001354167,62110.64,51052.78,350,20%,Inactive - Junction Solutions,No,3400000,Existing Relationship - New Business,Retail & Restaurants,low,No,0
8b13d05b-0e4a-e711-8117-005056ad6943,7787056,27380,133100000,0.001157407,62110.64,51052.78,350,20%,Inactive - Junction Solutions,No,3400000,Existing Relationship - New Business,Retail & Restaurants,med,No,0
866b37e6-14f2-e611-8111-005056ad09ed,7787056,50000,133100000,0.000902778,62110.64,51052.78,350,20%,Inactive - Junction Solutions,No,3400000,Existing Relationship - New Business,Retail & Restaurants,med,No,1
b6300c99-309b-e711-8118-005056ad09ed,7787056,1779418,133100000,137.7557986,62110.64,51052.78,350,20%,Inside Sales,No,3400000,Existing Relationship - Renewal,Retail & Restaurants,high,No,1
61adb43a-2d9b-e711-8118-005056ad09ed,7664033,920000,692520,177.5236458,121976.13,100634.07,1000,20%,Referral - Other,No,67000,Existing Relationship - Renewal,Retail & Restaurants,high,_missing_,0
5fddae46-2d9b-e711-8118-005056ad09ed,7664033,8000000,692520,83.69563657,121976.13,100634.07,1000,20%,Referral - Other,No,67000,Existing Relationship - Renewal,Retail & Restaurants,high,_missing_,0
913e5dd6-2d9b-e711-8118-005056ad09ed,7786973,9041.16,50031237,23.63300926,0,0,200,20%,Inactive - Junction Solutions,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,low,No,0
151f124f-b2e1-e611-8111-005056ad09ed,7786973,16525.48,50031237,0.001365741,0,0,200,20%,Inactive - Junction Solutions,Yes,0,Existing Relationship - New Business,Retail & Restaurants,low,No,1
a25596a8-9215-e711-811c-005056ad4f9d,7786973,5600,50031237,0.000787037,0,0,200,20%,Inactive - Junction Solutions,Yes,0,Existing Relationship - New Business,Retail & Restaurants,low,No,1
e8589f51-520e-e711-8113-005056ad6943,7786973,4365,50031237,0.002592593,0,0,200,20%,Inactive - Junction Solutions,Yes,0,Existing Relationship - New Business,Retail & Restaurants,low,No,1
